PID,Title,Description,Identifier,Format,Type,Access rights statement,Copyright statement,Relationship,Digital URI,ILMS Identifier,ILMS URI,Creator/Contributor,Date,Location,Accession number
482142,"The Treasury, Melbourne, Arrival Of The Monster Gold Escort","Title printed below image. -- Printed below image l.r.: Stringer Mason & Co. -- One of a series of sketches published in Gold diggers' portfolio, consisting of a series of sketches of the Victoria gold fields taken by talented artists on the spot  engr",wp001767,image/jpg,"StillImage,Lithographs,Genre prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/484201,1811118,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1811118,"Ham, Thomas 1821-1870, engraver.   Stringer, Mason & Co.",1854,,H2913
3077243,"Queens Wharf, Melbourne, West End, In The Fifties.","Queens Wharf was the first wharf on the Yarra River, built in the early 1840s. It was located near Customs House and the Melbourne Fish Market, both in Flinders Street. The area was surrounded by swamps and mud and when the Yarra River flooded, water and mud would cover the wharf. The primitive conditions meant that boats would be tied to trees.  There were wharves on the north and south sides of the river, but by the 1950s the northern side was substantially filled in so the land could be reclaimed.",a09999,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3077875,1689626,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1689626,"Gill, S. T., 1818-1880.",1905/1910,"-37.820349, 144.957863, 455 Flinders street, Melbourne",H8819
2972776,"Melbourne - Former Bank Of N.S.W. I.E. New South Wales, 502-504 Flinders St., Melbourne","The former Bank of New South Wales was built in 1911, and is an example of Art Deco detailing and Federation styling. The site itself is notable as John Pascoe Fawkner purchased this land for Ã¯Â¿Â½32 at the first land sales in Melbourne.",jc019151,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2973883,1697134,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1697134,"Collins, John T. 1907-2001, photographer.",1977-08-22,"""-37.820078, 144.957667"", 502-504 Flinders",H98.252/589
2972783,"Holyman House, Cnr. Market & Flinders Sts., Melbourne","Designed by John Gill, Holyman House was a three storey bluestone warehouse was built in 1858 for wool merchant Richard Goldsborough. It was originally used to house wool before delivery to the nearby docks. The first storey window pediments alternate between arched and pointed, and the well-proportioned and symmetrical design reflects an Italian Renaissance influence.",jc019156,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2973888,1697145,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1697145,"Collins, John T. 1907-2001 , photographer.",1963-12-22,"""-37.819033, 144.961251"", 390 Flinders",H98.252/594
2039670,"Government House, Melbourne","Artistic Melbourne Views, Part of a 17 postcard views in a booklet. -- Printed on cover l.c.:Buildings, Streets & Parks. -- Printed by The Speciality Press Pty. Ltd., 189 little Collins St., Melbourne.",pc003341,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Viewfolders Victoria. H-O.; Kookaburra series.,http://api.slv.vic.gov.au/access_record/2040194,1774350,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1774350,,1911/1918,,H98.116/1
2061464,Coles Book Arcade,"Cole's Book Arcade opened in 1883 in what is now the Bourke Street Mall. It boasted over 2 million new and second hand books and was famous around the world. The store offered a jovial atmosphere for its customers with a pianist, a fernery and menagerie, along with toys and a confectionery department. Cole provided comfortable chairs for customers and encouraged them to read without buying. Cole also published many editions of his own picture book, Cole's Funny Picture Book, which sold in the hundreds of thousands. EW Cole died in 1918, but the Melbourne Arcade continued until 1929.",pi000684,image/jpg,"StillImage,Gelatin silver prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2061783,1666827,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1666827,"Shier, Spencer 1884-1946. photographer.   Darge, Algernon 1881-1941 photographer.",1883/1903,"""-37.814029, 144.964717"", 299 Bourke",H96.207/1
3020421,"Parliament House, Melbourne","Parliament House commenced construction in 1856, and was continually added to until 1929. This is one of AustraliaÃ¯Â¿Â½s premier 19th century buildings. Designed by government architect, Charles Pasley, the location was selected by colonial surveyor, Robert Hoddle, who placed it at the top of Bourke Street to overlook the city. The strong European influence is reflected in the Romanesque grand columns and Classical Greek sculptural reliefs. The original design also included a dome, but was cancelled due to cost. The building was used the Commonwealth Parliament from 1901-1927.",is008858,image/jpg,"StillImage,Albumen prints,Albums",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3020568,2546356,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2546356,"Jenkins, George H. (George Henry), 1843-1911.   Ferres, John, printer.   Victoria. Parliament.   Victoria. Royal Commission on the Parliament Buildings.",1886,"""-37.81125935, 144.9733765"", 110 Spring",H41206/1
3078487,"The Argus And Australasian Offices, 197 Collins Street, Melbourne","The Argus and Australasian offices, 197 Collins Street, Melbourne",a14263,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3079322,1719507,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1719507,,9999,,H11729
285195,"William Street, Looking South, Melbourne","Title inscribed on verso in pencil l.c. -- Undated but circa 1879-1894. -- Looking south down William Street from the Collins Street intersection, corner building on right signed under roofline Mutual Provident Society Australia; Horse and buggies lined",pi008044,image/jpg,"StillImage,Albumen prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/285368,1873181,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1873181,"Lindt, J. W. (John William), 1845-1926, photographer.",1879/1894,,H2008.59/6
364583,Collins Street From Swanston,"Title inscribed on verso in pencil l.c. -- Undated but circa 1879-1894. -- Looking south down William Street from the Collins Street intersection, corner building on right signed under roofline Mutual Provident Society Australia; Horse and buggies lined",cc001953,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/366754,1804654,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1804654,,1872,"""-37.815492, 144.966541"", NE cnr Collins & Swanston",H96.160/1722
2379856,"New Railway Offices, Melbourne Vic.","The Victorian Railways Headquarters was built in 1887 and opened in 1893. The building was designed by Victorian Railways Department Engineering Office and was to be built of bluestone but was constructed of brickwork with stucco due to high costs. Until 1985 the building was home to the Victorian Railways. Originally comprising a basement and three floors, a fourth floor was added in 1912 and then an attic in 1922. The size of the building reflects VictoriaÃ¢â‚¬â„¢s expanding railway network in the 1880s. Later developed as the Grand Hotel.",pi005719,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2380116,1804777,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1804777,,1985,"67 Spencer Street Melbourne, -37.81999969, 144.954483",H93.64/63
2972895,"Leicester House. 302-308 Flinders Lane, Melbourne","Leicester House - This building was once several warehouses, built in the 1880s to architectÃ¯Â¿Â½s T J CrouchÃ¯Â¿Â½s design.  It was named Leicester House in the late 1930s. The high arches embedded beneath the deep cornices give this building a gothic quality.",jc019208,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2974216,1697875,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1697875,"Collins, John T. 1907-2001 , photographer.",1978-12-31,"""-37.817649, 144.967131"", 302 Flinders",H98.252/646
338191,Gordon Monument and Grand Hotel Melbourne,"Collection Of Postcard Views Of Melbourne Public Buildings Cards are printed in colour, with titles in red on face. -- 1. Commonwealth Parliament House -- 2. General Post Office -- 3. Government House -- 4. General Hospital -- 5. St. Paul's Cathedral -- 6. Public Library and Art Gallery -- 7. Fire Station, Easter",pc004492,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/338209,1913100,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1913100,"Cole, E. W. (Edward William), 1832-1918.",1902/1908,,H2009.98/1
2957585,"Melbourne Shot Tower Knox Place, Melbourne","Coop's Shot Tower rises over 50 metres and was built in 1890. It is 9 storeys high, and has 327 steps to the top. The tower was managed by the Coops family and would weekly produce six tonnes of lead pellets. The Coops also managed a tower in Clifton Hill, which is still standing. In 1991 the Melbourne Central tower was encased in the conical tower.",jc019353,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2957821,1699055,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1699055,"Collins, John T. 1907-2001 , photographer.",1963-12-25,"""-37.811700, 144.963486"", 211 La Trobe",H98.252/1028
3079078,"Church Of England Grammar School Domain Road, South Yarra","Part of Folding souvenir of Melbourne, 17 artistic, up-to-date views of public buildings (series no. 4) Title printed top of cover,  with The Oanco printed above the title. Also printed on cover is a Kookaburra sitting on a branch. -- Also printed top right of cover: One Penny will carry this anywhere in Commonwealth British Empire & Foreign Countries, le",pi006819,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Victorian state schools and students Series No. 4,http://api.slv.vic.gov.au/access_record/3080285,1807041,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1807041,,1920/1929,South Yarra,H2008.12/120
1743532,"Collins Street Melbourne, Looking West From Swanston Street",View showing the south side of the street.,a14314,image/jpg,"StillImage,Albumen prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/1743899,1719932,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1719932,,1887/1893,,H11753
293007,"Bourke Street Looking East From The Corner Of Elizabeth St., Melbourne","Negative inscribed in white ink:  OM 35. -- Shows the Spencer Street tram, the Post Office, London Stores and the Myer Emporium.",cr003273,image/jpg,"StillImage,Glass negatives",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/293449,1698422,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1698422,Kerr Brothers,1934/35,,H99.100/26
285213,"Grand Hotel, Melbourne, Vic.","The Hotel Windsor was designed by Charles Webb and originally opened as the Grand Hotel in 1883. For a brief time it was a liquor-free establishment named the Grand Coffee Palace, after the building had been expanded to 360 rooms. It was during this time that the sculpture above the main entrance was added - Peace and Plenty. It reverted back to a hotel in 1897, with liquor licence, and was redeveloped again in 1920, when it was renamed the Windsor Hotel in honour of the British Royal Family. The Hotel Windsor is notable for being Australia's only surviving grand 19th century city hotel.Ã¯Â¿Â½",pi008053,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/285468,1873243,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1873243,"Lindt, J. W. (John William), 1845-1926, photographer.",1879/1894,"""-37.810956, 144.972863"", 150 Spring",H2008.59/15
1126198,"Capitol Theatre, Designed By Walter Burley Griffin, Showing Stairs To Stalls Entrance","The Capitol Theatre opened in 1924 and was designed by Walter Burley Griffin and Marion Mahony Griffin. The Capitol theatreÃ¯Â¿Â½s highlight is the art deco plaster ceiling, which contains hidden lights. Originally it operated as MelbourneÃ¯Â¿Â½s first picture palace. Despite demolition of the ground floor and stalls, the upper foyers and the front facade remain unharmed. In 1999, it was purchased by Royal Melbourne Institute of Technology, but it still operates as a public film and live performance venue.",a40081,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/1126384,1762670,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1762670,"Fowler, Lyle 1891-1969 photographer.   Griffin, Walter Burley 1876-1937 architect.   Commercial Photographic Co., photographer.",1950-03/1950-04,"""-37.81494904, 144.9659576"", 117 Swanston",H92.20/3412
231394,Fish Market Corner Flinders And Spencer Streets Melbourne,"Melbourne Fish Market stood to the east of Flinders Street, built in 1890. It was an ornate building, featuring spires and a clock tower, and covering 23,000 square metres. It was demolished in 1956 for a car park in 1956, when Melbourne wanted to modernise its appearance in preparation for the 1956 Olympic Games.",gr006712,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2589797,1650818,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1650818,"Green, Allan C. 1878-1954 photographer.",1937/1943,"""-37.821068, 144.955899"", 573 Flinders",H91.325/1882
324703,"Lonsdale Street South Between Brown Alley And Crombie Lane, Melbourne","Seabrook House is another bluestone warehouse in this area, designed by Leonard Terry in 1858. The broad base and neat row of large windows is familiar with the Italian palazzo style of architecture. It is a simple rectangle design with courtyard at the rear.",dc000507,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/330441,2007488,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2007488,"Halla, K. J., photographer.",1969/1975,"""-37.814471, 144.955424"", 573 Lonsdale",H36133/507
628465,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","The Regent Theatre was designed by Cedric Ballantyne and opened in 1929 as one of MelbourneÃ¯Â¿Â½s grandest cinemas. In the ballroom was the Plaza Theatre, with seating for more than 1000 people. A fire in 1945 resulted in much of the interior being rebuilt, but to the original design. When its owner Hoyts sold it off in 1970, it seemed destined for demolition and was closed for over twenty years. Council intervention restored the building and it re-opened in 1996. Today it is a popular live theatre, music and comedy venue.",is003841,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628610,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,"""-37.81538773, 144.9674988"", 191 Collins",H2009.177/24
3022036,"Swanston Street, Melbourne (looking South), Town Hall On The Left.","Swanston Street was named for Captain Charles Swanston, a banker in Hobart. Swanston was a leading member of the Port Phillip Association, which sent John Batman to Port Phillip to report on its conditions and suitability for settlement. Swanston was also responsible for establishing the Derwent Savings Bank in Hobart and for introducing the overdraft system to Australia. In 2010 Swanston Street was closed to traffic. It features many of MelbourneÃ¯Â¿Â½s finest buildings including the Manchester Unity Building, Nicholas Building and State Library of Victoria. ",is008892,image/jpg,"StillImage,Gelatin silver prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3022218,2544606,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2544606,,1926,"""-37.814189, 144.966212"", 146 Swanston",H36291/13
602164,"Paramount's Capitol Theatre, Swanston Street, Melbourne","Dated from movies. -- Inscribed on negative H2009.21/73 u.l.: Capitol. -- The Capital Theatre was built 1921-1924, designed by architect Walter Burley Griffin, in association with Melbourne architects Peck and Kemter. -- Exterior view of the cinema with 2",is002206,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/602371,1832670,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1832670,"Griffin, Walter Burley, 1876-1937, architect   Commercial Photographic Co., photographer.   Peck & Kemter, architect",1937/1939,,H2009.21/64
3077693,The Opera House Bourke Street Melbourne,"The Tivoli Arcade is all that is left of the original Tivoli Theatre, which suffered extensive fire damage in 1967. From 1914 through 1966, the Tivoli was one of MelbourneÃ¯Â¿Â½s most popular vaudeville theatres. Designed by William Pitt, it was originally named the New Opera House which showed the first motion picture in Australia. The venue subsequently hosted a plethora of international entertainers such as Houdini, WC Fields, Shirley Bassey and Chico Marx.",is001843,image/jpg,"StillImage,Architectural drawings",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078412,1812433,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1812433,"Pitt, William 1855-1918 architect.",1900,"""-37.81334305, 144.9663239"", 249 Bourke",H2008.143
3079080,"Wesley College, St Kilda Road, Melbourne","Part of Folding souvenir of Melbourne, 17 artistic, up-to-date views of public buildings (series no. 4) Title printed top of cover,  with The Oanco printed above the title. Also printed on cover is a Kookaburra sitting on a branch. -- Also printed top right of cover: One Penny will carry this anywhere in Commonwealth British Empire & Foreign Countries, le",pi006821,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Victorian state schools and students Series No. 4,http://api.slv.vic.gov.au/access_record/3080287,1807041,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1807041,,1920/1929,"St Kilda Road, Melbourne",H2008.12/120
347534,"King Street West Between Flinders Street And Flinders Lane, Melbourne Vic.",Photographer's name and date of images printed on envelopes holding the negatives. -- Looking along street with Melbourne Steamship Company building on opposite side of road -- Shows Kerry Family Hotel on corner of Flinders Lane --  View along street show,dc000292,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/348559,1873477,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1873477,"Halla, K. J., photographer.",1965,,H36133/292
2972777,"Melbourne - Former Bank Of N.S.W. I.E. New South Wales, 502-504 Flinders St., Melbourne",Title and date inscribed by photographer on verso. -- Photographer's stamp on verso. -- Shows front and corner view of brick building on corner of King and Flinders Streets.,jc019152,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2973884,1697134,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1697134,"Collins, John T. 1907-2001, photographer.",1977-08-22,,H98.252/589
2039654,"View of Princes Bridge Melbourne, Looking towards Flinders Street Station. ","Artistic Melbourne Views, Part of a 17 postcard views in a booklet. -- Printed on cover l.c.:Buildings, Streets & Parks. -- Printed by The Speciality Press Pty. Ltd., 189 little Collins St., Melbourne.",pc003325,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Viewfolders Victoria. H-O.; Kookaburra series.,http://api.slv.vic.gov.au/access_record/2040128,1774350,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1774350,,1911/1918,,H98.116/1
2622045,"Treasury Building, Melbourne","The classic Treasury Building, located just near Parliament House, was designed by colonial draftsman John James Clark, and influenced by Italian palazzos. ClarkÃ¯Â¿Â½s other buildings include the Melbourne City Baths and the Royal Mint. It opened in 1862 on the back of the goldrush, with vaults built in the basement. Its location adds credence that this indeed is the Ã¯Â¿Â½Paris endÃ¯Â¿Â½ of Collins Street, based on the up-market European influences.  Treasury offices were eventually moved from here in 1877-78.",is006005,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2622159,1689829,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1689829,"Nettleton, Charles 1826-1902 photographer.",1885/1887,"""-37.81326675, 144.9741364"", 20 Spring",H141441
324856,"Elizabeth Street, Melbourne, Showing Gpo And Exterior Of Royal Arcade",Glass cover of lantern slide missing.,cf001581,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/325001,1761117,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1761117,"Harvey, John Henry 1855-1938 photographer.",1880/1938,,H91.300/962
1743534,"View Of Elizabeth Street, Looking Towards Collins Street Showing The Beehive Clothing Company And The Beehive Chambers, Corner Of Bourke And Elizabeth Streets","Beehive Clothing Company occupied a two storey building on the corner of Bourke and Elizabeth Streets. It was a large merchant tailor store built in the 1870s and demolished in the early 1900s. It was replaced with the London Stores, completed in 1925 and still in use today.",b21966,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/1743900,1720224,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1720224,"Walker, Charles B. fl. 1888-1900 photographer.",1885/1892,"""-37.814248, 144.963159"", SE cnr Bourke & Elizabeth",H81.111
3077663,"Orient Bank Melbourne, Vic.","The Oriental Bank was located on the south-west corner of Flinders Lane and Queen Street. Designed by Robertson and Hale and built in 1856, the Bank was inspired by Greek temples with six frontal columns. The Oriental went out of business in mid-1880s and the building was demolished before the turn of the century.",pi003848,image/jpg,"StillImage,Albumen prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078397,1792669,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1792669,"Donald, D. M., photographer.",9999,"""-37.817895, 144.962082"", SW cnr Queens & Flinders lane",H4300
2357530,"Botanic Gardens and Government House, Melbourne","Photographic Souvenir Of Melbourne. Foldout postcard comprising 15 images. , Title taken from cover, not captured. Published by The Valentine & Sons Publishing Co. Ltd. Melbourne. Including view from Flinders street, Swanston street, Collins street, View from Wellington parade and Alexandra avenue",b30386,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2357972,1707465,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1707465,,1911/1917,,H40638
628466,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","Title assigned from inscriptions on envelopes. -- Undated but circa 1940s. -- Negative numbers inscribed in negatives: F957-2, F957-3, F957-4, F957-5, F957-8, F957-9, F957-10, F957-11, F957-12, F957-14, F957-15, F957-16, F957-17, F957-18, F957-19, F957-20",is003842,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628612,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,,H2009.177/24
3077660,"Spencer Street Bridge - General Views, Melbourne",The Spencer Street Bridge was built by the Victorian Railways Construction Branch in 1929-30.  The demand for the bridge demonstrated the growing importance of motor vehicle traffic to Melbourne's commerce.,mp015334,image/jpg,"StillImage,Gelatin silver prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078395,1788015,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1788015,"Sun news-pictorial (Melbourne, Vic.)",1928-10-25,"-37.82219696, 144.9548035, 1 Spencer street, Melbourne",H2001.308/3068
330342,"Looking From Gpo Towards State Savings Bank On The South West Corner Of Elizabeth And Bourke Streets, Melbourne, Vic.","The building of the State Savings Bank was begun in 1912, with many extensions and alterations involving a number of architects. The final result, completed in 1934, is a combination of styles, primarily inspired by the Chicago school featuring columns and capped cornices. The State Savings Bank dissolved during the 1980s. ",pi007373,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/330440,2008478,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2008478,"Petrie, Alexander John, 1905-1988, photographer.",1925-07,"""-37.814546, 144.962925"", 385 Bourke",H2009.30/14
2357526,"Burns Statue and St Kilda Road, Melbourne","Photographic Souvenir Of Melbourne. Foldout postcard comprising 15 images. , Title taken from cover, not captured. Published by The Valentine & Sons Publishing Co. Ltd. Melbourne. Including view from Flinders street, Swanston street, Collins street, View from Wellington parade and Alexandra avenue",b30382,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2357968,1707465,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1707465,,1911/1917,,H40638
965426,"The Wool Exchange (winfield Building), Collins Street, Melbourne, Vic.","Designed by William Pitt, the Rialto is a Venetian style building which opened in 1891. Originally a commercial building, it had space for 300 offices and 14 warehouses. The gothic towers, balconettes and arched windows were inspired by the palazzos of Venice. Early occupants were the Melbourne wool exchange and Melbourne Metropolitan Board of Works. The Rialto is notable as an illustration of MelbourneÃ¯Â¿Â½s building boom during the early 1890s. Shortly after, the economic depression that hit Melbourne halted building for almost 10 years.",pi004887,image/jpg,"StillImage,Albumen prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/965650,1793945,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1793945,"Darge, photographer.   D'Ebro, Charles 1850-1920, architect.   Speight, Richard, architect.",1900/1920,"""-37.818201, 144.957968"", 487 Collins",H2004.89/22
602168,"Paramount's Capitol Theatre, Swanston Street, Melbourne","Dated from movies. -- Inscribed on negative H2009.21/73 u.l.: Capitol. -- The Capital Theatre was built 1921-1924, designed by architect Walter Burley Griffin, in association with Melbourne architects Peck and Kemter. -- Exterior view of the cinema with 2",is002207,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/602540,1832670,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1832670,"Griffin, Walter Burley, 1876-1937, architect   Commercial Photographic Co., photographer.   Peck & Kemter, architect",1937/1939,,H2009.21/64
3079087,"The Homeopathic Hospital St Kilda Road, Melbourne","Part of Folding souvenir of Melbourne, 17 artistic, up-to-date views of public buildings (series no. 4) Title printed top of cover,  with The Oanco printed above the title. Also printed on cover is a Kookaburra sitting on a branch. -- Also printed top right of cover: One Penny will carry this anywhere in Commonwealth British Empire & Foreign Countries, le",pi006828,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Victorian state schools and students Series No. 4,http://api.slv.vic.gov.au/access_record/3080294,1807041,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1807041,,1920/1929,"St Kilda Road, Melbourne",H2008.12/120
2972778,"Melbourne - Former Bank Of N.S.W. I.E. New South Wales, 502-504 Flinders St., Melbourne","The former Bank of New South Wales was built in 1911, and is an example of Art Deco detailing and Federation styling. The site itself is notable as John Pascoe Fawkner purchased this land for Ã¯Â¿Â½32 at the first land sales in Melbourne.",jc019153,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2973885,1697134,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1697134,"Collins, John T. 1907-2001, photographer.",1977-08-22,"""-37.820078, 144.957667"", 502-504 Flinders",H98.252/589
3077624,"The Western Market Buildings, Collins Street, Melbourne.","The Western Market took up a city block and operated from 1841, and was MelbourneÃ¯Â¿Â½s first official market supplying Melbournians with fruit and vegetables. The Queen Victoria Market eventually surpassed the Western in popularity and in 1934 the old market was leased as a car park. The buildings were demolished in 1961.",a14277,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078377,1719619,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1719619,"McDonald, D., photographer.",1870/1875,"""-37.818024, 144.958899"", 459 Collins",H14114
