Title,Description,Identifier,Format,Type,Access rights statement,Copyright statement,Collection,Digital URI,ILMS Identifier,ILMS URI,Contributor/Creator,Date,Location,Accession number,Notes
Miller's Family Hotel,"Shows brick building, single storey at front, double storey at back, iron railing across centre of porch at front of building and six men standing near seats on the pavement to the left.",cr002411,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Radley collection.,http://api.slv.vic.gov.au/access_record/290432,1784314,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1784314,G. G. M.,1914/1916,Victoria,H2002.198/72,
"Yallourn Hotel, Broadway, Yallourn, Victoria","Wide street with lamp post at cross roads, building with sign Yallourn Hotel on roof, cars at side of building.",cr000070,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/212186,1784741,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1784741,,1935/1935,"Yallourn, Victoria",H93.475/2984,
Two buildings viewed from the opposite side of the street,"Building on the left is three storeys, with round arch windows, sign above door reads: CARLTON ALE, and two ground floor windows have sign: BAR, large advertisement painted on the side: Carlton Ales; other building is double storey weatherboard business, with veranda over footpath.",cr000087,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/211946,1784814,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1784814,,1905/1910,Victoria,H98.73/1,
Two buildings viewed from the opposite side of the street,"Building on the left is three storeys, with round arch windows, sign above door reads: CARLTON ALE, and two ground floor windows have sign: BAR, large advertisement painted on the side: Carlton Ales; other building is double storey weatherboard business, with veranda over footpath.",cr000088,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/211945,1784814,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1784814,,,Victoria,H98.73/2,
"Tour bus outside the Mt. Remarkable Hotel, South Australia","Shows bus parked in front of hotel which is a double storey building made of stone with veranda and balcony decorated with iron lace work and railing, a woman is standing in front of the hotel, back to the camera, talking to a girl sitting on the railing; printed on side of bus: Bond's Tours.",cr001365,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/278402,1784948,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1784948,"Knights, Herbert",1948,Victoria,H99.80/8,
"Earl of Zetland Hotel, 23 Stanley Street, East Collingwood",Shows large group of people standing on the corner of Stanley Street.  Includes two men sitting at small table on the pathway.,pi002888,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/3214065,1790832,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1790832,,1862,"Stanley Street, Collingwood, Victoria",H636,
"Brunswick Hotel 111 Brunswick Street Fitzroy, picture","Exterior view of two storey hotel building, two men on the footpath and woman, possibly Elizabeth Lusher, the licensee at the time, standing in doorway.",pi002901,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/3607463,1790923,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1790923,,1861/1862,"Brunswick Street, Fitzroy, Victoria",H689,
"Power's Derby Hotel, 66 Gertrude Street, Fitzroy","Exterior view of three storey building, many people on the footpath.",pi002904,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/3495786,1790943,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1790943,,1861/1862,"Gertrude Street, Fitzroy, Victoria",H692,
"Mac's Hotel, 132 Smith Street, East Collingwood",,pi002907,JPG,Image,No copyright restrictions apply.,This work is out of copyright,"Views of Fitzroy and Collingwood, 1861-1862.",http://api.slv.vic.gov.au/access_record/3214067,1790955,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1790955,,1861/1862,"Smith Street, Collingwood, Victoria",H695,
House/hotel - fence and palm tree,"Front exterior view of three storey terrace house with sign reading ""HOTEL"". A man and woman standing under the verandah.",aj000097,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Ruth Hollick collection,http://api.slv.vic.gov.au/access_record/238732,1792081,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1792081,"Hollick, Ruth",1910/1930,Victoria,H2004.61/297,
Caledonian Hotel,"Exterior front view of two storey hotel with front balcony, women standing.",mp023082,JPG,Image,No copyright restrictions apply.,This work is out of copyright,John Etkins collection.,http://api.slv.vic.gov.au/access_record/3168279,1793690,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1793690,,1855/1910,Victoria,H27886,
"Grand Hotel, Mildura, Victoria","Shows double storey building with wrought iron railings on first level balcony, arched verandah at ground level, palm trees lining footpath in front.",pi003982,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/3500868,1795574,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1795574,,1940/1950,"Mildura, Victoria",H2006.14/22,
Lonsdale Street looking East from Queen Street,"Bird's-eye photograph of Lonsdale Street and wider Melbourne including the residential buildings, the State Library, Tankard's Temperance Hotel and Exhibition Building, ca. 1880.",nc000016,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/466044,1800129,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800129,,1880,"Lonsdale Street, Melbourne, Victoria",H4509,
Elizabeth Street looking South from Bourke Street,"Photograph from raised elevation of shops, hotels, residential and industrial buildings, with horse drawn vehicles travelling down Elizabeth Street, Melbourne, ca. 1867.  Building l.c. reads: ""Newing's Paperhangings, Window Glass, Oil Color Warehouse.""  Lower mount inscribed: ""C. Nettleton Photo. Melbourne."".",nc000017,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/466045,1800130,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800130,"Nettleton, Charles",1867,"Elizabeth Street, Melbourne",H2489,
Builder's Arms Hotel,"Shows double storey building on street corner, window at upper level painted with sign: Builders' Arms Hotel and a compass, beneath the name S. Drew  / licensed victualler. Man and woman standing on left, a man standing with a little boy on right.",je000156,JPG,Image,No copyright restrictions apply.,This work is out of copyright,John Etkins collection.,http://api.slv.vic.gov.au/access_record/310930,1800157,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800157,,1890/1900,Victoria,H2005.34/156,
"Golden Age Hotel, Melbourne, Victoria","View from across street towards corner building: double storey hotel building name painted between upper and lower floors ""Golden Age Hotel"", the name Kolbaum above front door, sign above small door on left ""Good Beds"". People gathered on path in front of building, one a man in a top hat and long coat, also girls in pinafores.",je000157,JPG,Image,No copyright restrictions apply.,This work is out of copyright,John Etkins collection.,http://api.slv.vic.gov.au/access_record/310933,1800161,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800161,,1890/1900,"Melbourne, Victoria",H2005.34/157,
"Imperial Hotel, Castlemaine","Photograph of the Imperial Hotel, Castlemaine under construction, ca.1865. Shows other buildings (l.r.) and workmen at front of hotel.",nc001737,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/465232,1800415,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800415,,1865,"Castlemaine, Victoria",H1962,
Stage Coach At Ringwood,"Photograph of a full stage coach pulled by four light coloured horses in front of T. Wiggin's [Coach?] & Horses Hotel. Four adults and a child stand to rear of coach (c.l.), Dec. 10 1881.",nc000083,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464401,1800523,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800523,,1881,"Ringwood, Victoria",H6232,
Menzies Hotel Dining Room,"Photograph of an elaborately laid table in the Menzie's Hotel dining area, Melbourne, 1924. Two tables have been joined making an unusual shape and has 24 place settings, with flowers and leaves arranged in centre. Steps under an archway lead to another area with chairs, palms and curtains, and behind set table are a closed set of concertina doors.",nc001793,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464612,1800656,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800656,,1924,"Melbourne, Victoria",H35716,
Menzies Hotel Function Room,"Photograph of large dining or function room at Menzies Hotel, Melbourne, 1924. Shows long rectangular set table arrangement with plants in centre and smaller tables on outside, behind pillars on either side of room. Sets of gathered curtains are at windows / stage at front of room, and a fan is attached to each pillar.",nc001794,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/464444,1800657,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800657,Spencer Shier Pty Ltd,1924,"Melbourne, Victoria",H35717,
Globe Hotel Corner Little Bourke and Swanston Street,"Photograph of Globe Hotel, Melbourne, ca. 1868 showing three-storey hotel building, men and a boy standing on or near corner with large lamp post in front. A dog lies in front of cellar door (l.c.).",nc001795,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/464613,1800658,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800658,"Cornell, Frederick",1868,"Melbourne, Victoria",H874,
Menzies Hotel,"Photograph of the Menzies Hotel, corner Bourke and William Streets, Melbourne, ca.1875. Shows elevated view of street intersection with three-storey building in foreground and other buildings including town hall clock tower and church spire in distance. Several horse drawn vehicles stand in street and three men can be seen near corner of hotel.",nc001796,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464614,1800659,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800659,,1875,"William Street; Bourke Street, Melbourne, Victoria",H4505,
Queens Arms Hotel,"Photograph of the Queens Arms Hotel, Swanston Street Melbourne, ca.1880. Shows hotel on corner with a number of men standing under verandah, and a horse pulling two barrels on a cart.",nc001797,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464616,1800662,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800662,,1880,"Melbourne, Victoria",H23863,
London Hotel,"Photograph of O. Dolphin's London Hotel, Portland Victoria, ca.1880. Features hotel building on corner with iron railings around side and people standing outside, looking into camera.",nc001798,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464619,1800665,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800665,,1880,"Portland, Victoria",H971,
Bennett's Black Bull Hotel,"Photograph of Bennett's Black Bull Hotel, Geelong, 1861. Shows hotel building with a bull statue on roof and a crowd of people standing on footpath below. A man wearing a hat stands on top of building and faces the bull. Building next to hotel houses the National Bank of Australia.; This photograph is possibly by the photographer who made other views of Geelong hotels held by SLV at H13864 and H2175.",nc001799,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464620,1800668,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800668,,1861,"Geelong, Victoria",H4080,
Hotel Genoa,"Photograph of the Genoa Hotel, Lakes Entrance, Apr. 20 1936. Depicts homestead style pub with four people standing on verandah and trees and hills in distance. A car is on road (l.r.) and a sign post showing Princes Highway (c.l.).",nc001800,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/464454,1800671,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800671,"Bulmer, Howard Decimus",1936,"Lakes Entrance, Victoria",H18757,
Burchall's Cathedral Hotel Taggerty,"Photograph of Burchall's Cathedral Hotel, Taggerty Victoria, 1909. Shows weatherboard building with verandah and fabric shades, and two men with hats standing in front.",nc001801,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464463,1800741,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800741,,1909,"Cathedral Range, Victoria",H30498,
"Nelson Hotel, Gippsland","Hand coloured photograph on card depicting a group of people standing outside J. Timpson's Nelson Hotel, with verandah, other buildings and wooden fence (c.l.) Inscribed in gold ink underneath photograph (l.l.): ""With Christmas Greetings from Australia."".",nc001802,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464627,1800742,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800742,,1885,"Gippsland, Victoria",H8378,
M. Cutts Cricket Club Hotel,"Photograph of the M. Cutts Cricket Club Hotel, corner Mt. Alexander and Victoria Roads, Flemington, ca.1890. Depicts a two-storey building on a corner with lamppost and horse troughs at front. Three men and three children stand outside l.r.",nc001803,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464628,1800743,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800743,,1890,"Flemington, Victoria",H26208,
"Grand Hotel, Melbourne","Photograph of the Grand Hotel, Melbourne ca.1886. A fountain features in foreground and five-storey building, now the Windsor Hotel, Spring Street, behind on left.",nc001804,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/464629,1800744,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800744,,1886,"Melbourne, Victoria",H141990,
Grand Hotel,"Photograph of the Grand Hotel, Spring Street Melbourne, ca.1890. Features a stately five storey building with men standing in front on footpath, and horse drawn vehicles, one loaded with planks of wood. This hotel is now the Windsor.",nc001809,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/463822,1800756,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800756,,1890,"Melbourne, Victoria",H8868,
"Richmond - Hawthorn Horse Bus, at Governor Hotham Hotel, Burwood Road, Hawthorn","Photograph of a section of a water colour depicting the Princess Royal Richmond - Hawthorn horse bus outside the Governor Hotham Hotel, Burwood Rd, Hawthorn.",nc001806,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/2608607,1800771,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1800771,,1960,"Hawthorn, Victoria",H33336,
Wallach's Furnishing Warehouse,"Photograph of Wallach's Furnishing Warehouse, showing six storey building and the Felix Hotel next to it on Elizabeth Street, Melbourne.  Building was located near the G.P.O.",nc000358,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/4627946,1801848,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1801848,"Rudd, Charles",1890,"Elizabeth Street, Melbourne",H12221,
"Former hotel, cnr of Stevenson and Macquarie Streets, Williamstown, Victoria","Detail of two storey bluestone corner building showing sign on lintel of door reading D. Orpwood, the date 1869 above name, street name Macquarie St. on wall.",ca000261,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/486618,1802203,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1802203,"Caldwell, Colin",1949,"Williamstown, Victoria",H84.276/2/17B,
"41 The Strand, Williamstown, Victoria","Shows part of a double storey house with corrugated iron roof, wrought iron balustrade at upper verandah, iron lacework at roofline of upper and ground level verandahs.",ca000262,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/486619,1802204,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1802204,"Caldwell, Colin",1949,"Williamstown, Victoria",H84.276/2/17C,
Town of Porepunkah near Buffalo Mountains,"Photograph of a country scene depicting paddocks, the Porepunkah Hotel, wooden sheds, gum trees and mountains in the distance. In foreground is a wooden bridge and three cows grazing.",cc001921,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/362893,1802218,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1802218,"Caire, N. J.",1886,"Buffalo; Mount Victoria; Porepunkah, Victoria",H96.160/1832,
"Mahon's Yarra Hotel - 295 Johnson Street, Abbotsford Victoria","Looking up towards roof double hung sash windows with pediments, balustrade along roof line with broken pediment and finial. Name of hotel above windows.",ca000332,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/486716,1802516,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1802516,"Caldwell, Colin",1950,"Abbotsford, Victoria",H84.276/2/35C,"Mahon's Yarra Hotel (Abbotsford, Vic.)"
"Berwick Hotel, Berwick, Victoria",Looking across road to corner building.,ca000604,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/487792,1808856,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1808856,"Caldwell, Colin",1949,"Berwick, Victoria",H84.276/6/5A,Originally the Border Hotel licensed in 1857 with two storeys at the rear added in the 1870s.
"Berwick Hotel, Berwick, Victoria",Facade on main street showing wrought iron balcony on upper storey.,ca000605,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/487793,1808856,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1808856,"Caldwell, Colin",1950,"Berwick, Victoria",H84.276/6/5B,Originally the Border Hotel licensed in 1857 with two storeys at the rear added in the 1870s.
"Berwick Hotel, Berwick, Victoria",Outbuildings in courtyard.,ca000606,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/487794,1808856,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1808856,"Caldwell, Colin",1951,"Berwick, Victoria",H84.276/6/5C,Originally the Border Hotel licensed in 1857 with two storeys at the rear added in the 1870s.
"Berwick Hotel, Berwick, Victoria",Arch in courtyard.,ca000607,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/487795,1808856,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1808856,"Caldwell, Colin",1952,"Berwick, Victoria",H84.276/6/5D,Originally the Border Hotel licensed in 1857 with two storeys at the rear added in the 1870s.
Mcdonald's Foundry Hotel,"Photographic print of McDonald's Foundry Hotel, Ballarat. Shows a corner weatherboard building with 2 women, 3 men and 4 dogs standing in front.",nc002190,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Imaging 19th Century Victoria Digitising Project,http://api.slv.vic.gov.au/access_record/640177,1808924,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1808924,,1886,"Ballarat, Victoria",H28169,
"Grand Hotel, Yarra Glen, Victoria","Detail of a hotel with double verandahs, ground level arcaded with balustrade, upper verandah with wrought iron balustrade and trim.",ca001032,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Colin Caldwell Trust collection.,http://api.slv.vic.gov.au/access_record/488450,1811525,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1811525,"Caldwell, Colin",1949,"Yarra Glen, Victoria",H84.276/7/41A," Grand Hotel (Yarra Glen, Vic.)"
"Mulgrave Arms Hotel, Dandenong Road, Mulgrave, Victoria","View of a horse and buggy, with two people in the buggy, stationary in front of the Mulgrave Arms Hotel. Two people and three large trees are in front of the buildings.",is001783,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/3402876,1811941,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1811941,,1887/1889,"Mulgrave, Victoria",H41542,
"View of Film House and other buildings on Bourke Street, Melbourne","View from street of Film House, also visible are the Australian Club Hotel (left) and Salisbury building (right) which houses Caldwell's Furniture, A. J. Pitman Taylor, and H. W. Landell's Signwriter.",is004018,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/643552,1820696,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1820696,,1930/1939,"Bourke Street, Melbourne, Victoria",H2009.20/78,
"Exterior views of The National Hotel, 238 Victoria Street, North Melbourne","View from street of hotel, businesses visible to right of hotel are W. B. Simpson Pty. Ltd. Auctioneer, Sworn Valuer and Estate Agent, and the National Bank of Austra [illeg.] ",is004027,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Harold Paynting collection.,http://api.slv.vic.gov.au/access_record/643561,1825272,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1825272,,1930/1939,"Victoria Street, North Melbourne, Victoria",H2009.20/91,
"Exterior views of The National Hotel, 238 Victoria Street, North Melbourne","View from street of hotel, adjacent businesses visible are Melford Motors to left and W. B. Simpson Ptd. Ltd. Auctioneer, Sworn Valuer and Estate Agent to right. ",is004028,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Harold Paynting collection.,http://api.slv.vic.gov.au/access_record/643562,1825272,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1825272,,,"North Melbourne, Victoria",H2009.20/92,
"Interior views of Hotel Dining Rooms, Hepburn Springs","View of dining room, with tables and chairs, potted plants and wall decorations. Ashtrays on tables ",is003864,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Harold Paynting collection.,http://api.slv.vic.gov.au/access_record/644691,1828968,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1828968,,1930/1939,"Hepburn Springs, Victoria",H2009.21/13,
"Interior views of Hotel Dining Rooms, Hepburn Springs","View of hotel restaurant with numerous tables and chairs, set with table cloths and cutlery, vases and an artwork hanging on wall.",is003865,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Harold Paynting collection.,http://api.slv.vic.gov.au/access_record/644692,1828968,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1828968,,,"Hepburn Springs, Victoria",H2009.21/14,
Exterior view of Hepburn Mineral Springs Hotel,"View of two storey building, stone fence and entrance gate. Two people sitting on chairs on balcony ",is003872,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Harold Paynting collection.,http://api.slv.vic.gov.au/access_record/602519,1829915,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1829915,,1930/1939,"Hepburn Springs, Victoria",H2009.21/31,
Exterior view of Hepburn Mineral Springs Hotel,View along driveway of hotel and gardens from entrance gates. ,is003873,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Harold Paynting collection.,http://api.slv.vic.gov.au/access_record/602344,1829915,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1829915,,,"Hepburn Springs, Victoria",H2009.21/32,
Exterior view of Prince of Wales Hotel,Looking up at hotel sign and balconies.,is003882,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/602351,1830397,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1830397,,1930/1939,"Fitzroy Street, St. Kilda, Victoria",H2009.21/41,
"Main Street, Minyip, Victoria","Looking west down main street with hotel on right: brick, gabled roof, upper verandah ",pi008157,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/286569,1896931,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1896931,,1920/1940,"Minyip, Victoria",H88.45/6,
"Main Street, Minyip, Victoria","Shows Club Hotel on left with upper verandah, balustrade at roofline with urns and pediment, brick building on far left: brick building with pedimented windows, balustrade at roofline name under roofline: National Bank of Australasia.",pi008159,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/286571,1896931,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1896931,,,"Minyip, Victoria",H88.45/8,
The East Dark Fire Brigade on Parade,"Shows men and children dressed up in costumes and faces blackened, with some men holding fire hoses, and the sign on the building behind reading: Cox's Railway Hotel.",is002805,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/320233,1950721,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1950721,"Plucke, Oliver F.",1906,"Maryborough, Victoria",H84.296/15,
"St Andrews Hotel, ","Including St Andrews Hotel With People Standing On The Veranda, Horses and Carriages and Carts, Child Struggling With Some Papers On The Road",ei000157,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Harold Paynting collection.,http://api.slv.vic.gov.au/access_record/305788,1976246,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1976246,,1910/1930,"St. Andrews, Victoria",H2009.61/12,
Briagolong Hotel,View showing six people and a horse and cart in front of a weatherboard building.,is005665,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/2543489,1981143,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1981143,,1890/1900,"Briagolong, Victoria",H89.58,
Timboon Hotel,,wp002331,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Sketchbook of pencil drawings of lighthouses by Charles Maplestone.,http://api.slv.vic.gov.au/access_record/317492,1981815,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1981815,"Maplestone, Charles",1859,"Camperdown, Victoria",H2001.166/45,
"The Hopkins Hotel, Wickliffe",,wp002333,JPG,Image,No copyright restrictions apply.,This work is out of copyright,Sketchbook of pencil drawings of lighthouses by Charles Maplestone.,http://api.slv.vic.gov.au/access_record/317494,1981838,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1981838,"Maplestone, Charles",1858,"Wickliffe, Victoria",H2001.166/47,
Elsternwick Hotel April 16/75,Shows two story building across empty paddock.,wp002426,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/328434,1982848,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1982848,"Russell, Robert",1860,"Elsternwick, Victoria",H4583,
"Castlemaine - Sandhurst Coach Outside, railway Hotel","View shows a coach full of passengers being pulled by sixteen horses, with buildings behind it. A sign on the building reads: Railway [Hotel?].",pi010368,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/350232,2011132,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2011132,,1870/1880,"Castlemaine, Victoria",H4778,
Connelly's Australian Hotel,"View shows men and women standing out the front of a hotel, with a sign reading: Australian Hotel, Connelly'[s], Australian Hotel.",pi010280,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/350237,2011228,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2011228,Martin,1890,Victoria,H13274,
"Terminus Hotel, Mercer Street, Geelong",View shows people standing outside a three storey hotel with a horse-drawn vehicle on the right. The sign on the side of the building reads: Bedford's. Late Hooper's Terminus Hotel.; Photograph is possibly by photographer who made other views of Geelong hotels held by SLV at H2175 and H4080.,is002869,JPG,Image,No copyright restrictions apply.,This work is out of copyright,,http://api.slv.vic.gov.au/access_record/499120,2018529,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2018529,,1861,"Mercer Street, Geelong, Victoria",H13864,
