Title,Description,Identifier,Format,Type,Access rights statement,Copyright Statement,Collection,Digital Uri,ILMS Identifier,ILMS URI,Creator,Date,Location,Physical format
"Melbourne and Metropolitan Board of Works detail plan. 2416, Municipality of Northcote [cartographic material].","Streets shown include Flinders Street, Rathmines Street, Rossmoyne Street, Victoria Road.",bw1794,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1925131/oai_set/api_map,1199669,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1199669,Melbourne and Metropolitan Board of Works,1925,"Thornbury, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2884, Municipality of Oakleigh [cartographic material].","Streets shown include Kangaroo Road, Canterbury Street, Barkly Street, Darling Street, Hotham Street.",bw2088,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1949162/oai_set/api_map,1212991,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1212991,Melbourne and Metropolitan Board of Works,1919,"Hughesdale, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2937, Municipality of Coburg [cartographic material].","Streets shown include Gaffney Street, Fisher (Fischer) Street, Jersey Street, Alderney Street, Bishop Street, O'Hea Street.",bw2125,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1949199/oai_set/api_map,1217728,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1217728,Melbourne and Metropolitan Board of Works,1925,"Coburg, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3008, Municipality of Camberwell [cartographic material].","Streets shown include Beech Street, Sycamore Street, Linden Street, Acacia Street, Highfield Road.",bw2172,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1949243/oai_set/api_map,1220552,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1220552,Melbourne and Metropolitan Board of Works,1926,"Camberwell, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3690, Municipality of Footscray [cartographic material].","Streets shown include Roberts Street, Geelong Road, Margaret Street, Dyson Street.",bw2453,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1990634/oai_set/api_map,1254354,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1254354,Melbourne and Metropolitan Board of Works.,1947,"West Footscray, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3941, Municipality of Braybrook [cartographic material].","Streets shown include Fourth Avenue, Western Avenue, Kororoit Creek, Barry Street, Hampton Avenue, Ormond Avenue, Patterson Avenue, Scott Avenue (Bolitho Street), Wright Street.",bw2536,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1993758/oai_set/api_map,1265318,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1265318,Melbourne and Metropolitan Board of Works.,1931,"Sunshine, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4073, Municipality of Braybrook [cartographic material].","Streets shown include Smith Street, Fisher Street, Lindenow Street, Emu Street, Rosamond Road.",bw2591,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1999888/oai_set/api_map,1266898,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1266898,Melbourne and Metropolitan Board of Works.,1948,"Maidstone, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4169, Municipality of Mordialloc [cartographic material].","Streets shown include Wells Road, Bonanza Road, Charman Road, Balcombe Road.",bw2612,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1999932/oai_set/api_map,1268605,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1268605,Melbourne and Metropolitan Board of Works.,1940,"Beaumaris, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4235, Municipality of Moorabbin [cartographic material].","Streets shown include Paul Street, Tulip Grove, Heather Grove, Gilford Grove, Jean Street.",bw2640,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2010261/oai_set/api_map,1269379,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1269379,Melbourne and Metropolitan Board of Works.,1948,"Cheltenham, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4776, Municipality of Camberwell [cartographic material].","Streets shown include Altair Street, Tucana Street, The Boulevard, Musca Street, Libra Street, Aquila Street.",bw2780,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2012656/oai_set/api_map,1285924,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1285924,Melbourne and Metropolitan Board of Works.,1940/1949,"Balwyn North, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4672, Kew & Camberwell [cartographic material].","Streets shown include Keystone Crescent, The Boulevard.",bw2746,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2012700/oai_set/api_map,1286387,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1286387,Melbourne and Metropolitan Board of Works.,1941,"Kew East, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4495, Municipality of Moorabbin [cartographic material].","Streets shown include East Boundary Road, North Road, Murrumbeena Road, Crosbie Park Avenue (Carey Street), Crosbie Road (Cobar Street), Dromana Avenue, Wonga Court.",bw2729,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2012737/oai_set/api_map,1286895,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1286895,Melbourne and Metropolitan Board of Works.,1956,"Bentleigh East, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 228, City of Footscray [cartographic material]","Streets shown include Charles Street, Nicholson Street, Princess Street, Railway Place, Railway Street, Yarra Street, Poole Street, Catherine Street, Dane Street, Stephen Street, Bell Street.",bw0847,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1083528/oai_set/api_map,1163247,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1163247,Melbourne and Metropolitan Board of Works,1895,"Seddon, Victoria & Footscray, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, No. 1008, City of Melbourne [cartographic material].","Streets shown include Spring Street,Flinders Street, Collins Street, Russell Street, Flinders Lane, Exhibition Street.",bw0000,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1497097/oai_set/api_map,1161766,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1161766,Melbourne and Metropolitan Board of Works,1895,"Melbourne, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1086, City of Richmond [cartographic material].","Streets shown include River Street, Jones Place, Burnley Place, Bridge Street, Murphy Street, Palmer Street.",bw0125,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1497178/oai_set/api_map,1183269,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1183269,Melbourne and Metropolitan Board of Works,1901,"Richmond, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 1268, Town of Northcote [cartographic material].","Streets shown include Heidelberg Road, Westgarth Street, East Street.",bw0251,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1581291/oai_set/api_map,1163958,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1163958,Melbourne and Metropolitan Board of Works,1909,"Northcote, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 325, 326, 327, City of Melbourne [cartographic material].","Streets shown include Graham Street, Nott Street, Rouse Street, Beach Street, Railway Place, Clifford Street, Little Princes Street, Church Street, Stokes Street.",bw0291,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1581372/oai_set/api_map,1177234,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1177234,Melbourne and Metropolitan Board of Works,1895,"Port Melbourne, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 1150, City of Melbourne [cartographic material].","Streets shown include Gatehouse Street, Bayles Street, Wimblin Street, Morrah Street, Benjamin Street, Story Street, Park Street [Park Drive], Story Street West, Morrah Street West.",bw0147,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1724243/oai_set/api_map,1163830,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1163830,Melbourne and Metropolitan Board of Works,1897,"Parkville, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. Parts of 806, 809, 811, Town of Essendon [cartographic material].","Streets shown include Epsom Road, Sandown Road, Ascot Racecourse.",bw0459,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1731038/oai_set/api_map,1194691,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1194691,Melbourne and Metropolitan Board of Works,1906,Ascot Vale Vic,1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 921, City of Richmond [cartographic material].","Streets shown include Swan Street, Madden Grove, Utopia Place, Stawell Street, Adam Street, Cherrill Street, Berlin Street |Burnley Street|-- West Street, North Street.",bw0537,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1746041/oai_set/api_map,1183404,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1183404,Melbourne and Metropolitan Board of Works,1899,"Richmond, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1350, Borough of Kew [cartographic material].","Streets shown include Fenwick Street, Studley Street |Hume Street|, Studley Park Avenue |Coombs Avenue|-- Studley Park Road.",bw0641,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1754222/oai_set/api_map,1186573,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1186573,Melbourne and Metropolitan Board of Works,1905,"Kew, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1405, City of St. Kilda [cartographic material]","Streets shown include Dandenong Road, Alma Road, Chapel Street.",bw0713,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1759461/oai_set/api_map,1186852,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1186852,Melbourne and Metropolitan Board of Works.,1897,"St. Kilda East, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 154, Municipality of Williamstown [cartographic material]","Streets shown include Park Cresent, Irvine Street, Florence Street, Kororoit Road [Kororoit Creek Road].",bw0801,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1790970/oai_set/api_map,1176900,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1176900,Melbourne and Metropolitan Board of Works,1917,"Williamstown, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1575, Borough of Kew [cartographic material].","Streets shown include Edgevale Road, Belmont Avenue, Stirling Street, Wellington Street, Glenferrie Road, Cotham Road, Doona Avenue.",bw1037,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1825539/oai_set/api_map,1186154,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1186154,Melbourne and Metropolitan Board of Works.,1903,"Kew, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1658, City of Essendon [cartographic material].","Streets shown include Ashurst Street, Raleigh Street, Shaftsbury Street, Brewster Street, Hoddle Street.",bw1107,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1826231/oai_set/api_map,1184766,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1184766,Melbourne and Metropolitan Board of Works.,1910,"Essendon, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1743, Town of Malvern [cartographic material]","Streets shown include Oxford Street, Irving Street, Winter Street, Stanhope Street, Valetta Street, Glenferrie Road.",bw1162,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1826268/oai_set/api_map,1187629,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1187629,Melbourne and Metropolitan Board of Works.,1902,"Malvern, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1707, Town of Malvern [cartographic material]","Streets shown include Coppin Street, Clarence Street, Dandenong Road, Tooronga Road.",bw1132,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1826312/oai_set/api_map,1195510,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1195510,Melbourne and Metropolitan Board of Works.,1908,"Malvern, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 1870, Town of Brunswick [cartographic material].","Streets shown include Lygon Street, Ewing Street, Edward Street, Weston Street, Luscombe Street, Barkly Street - William Street.",bw1274,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1830966/oai_set/api_map,1178523,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1178523,Melbourne and Metropolitan Board of Works.,1904,"Brunswick, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1808, Town of Brighton [cartographic material].","Streets shown include Glen Huntly Road, Brighotn Road, New Street, St. Kilda Street.",bw1214,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1831082/oai_set/api_map,1195565,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1195565,Melbourne and Metropolitan Board of Works.,1905,"Brighton, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2095, Northcote [cartographic material].","Streets shown include Beaconsfield Parade, Gladstone Avenue, Beaver's Road, Beavers Road, Railway Parade, St. Georges Road.",bw1524,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1850982/oai_set/api_map,1182283,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1182283,Melbourne and Metropolitan Board of Works,1908,"Northcote, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2055, Municipality of Caulfield [cartographic material].","Streets shown include Glen Eira Road, Caulfield Racecourse, Booran road, Kambrook Road.",bw1493,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1851008/oai_set/api_map,1196609,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1196609,Melbourne and Metropolitan Board of Works,1914,"Caulfield, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 1973, Camberwell and Boroondara [cartographic material].","Streets shown include Canterbury Road, Keats Street, Chaucer Street, Warburton Road, Kendall Street, Railway Parade, Marlowe Street.",bw1407,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1852232/oai_set/api_map,1180490,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1180490,Melbourne and Metropolitan Board of Works.,1905,"Boroondara, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2221, Town of Camberwell [cartographic material].","Streets shown include Rochester Road, Canterbury Road, Balwyn Road.",bw1620,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1865490/oai_set/api_map,1198429,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1198429,Melbourne and Metropolitan Board of Works,1906,"Canterbury, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2196, Town of Brighton [cartographic material].","Streets shown include Were Street, Hartley Street, South Road, Brighton Beach Railway Station.",bw1598,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1865571/oai_set/api_map,1198016,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1198016,Melbourne and Metropolitan Board of Works,1907,"Brighton, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2342, Borough of Coburg [cartographic material].","Streets shown include Hardings Road, Harding Road, Barrow Street, Sheffield Street, Sydney Road.",bw1724,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1874599/oai_set/api_map,1198783,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1198783,Melbourne and Metropolitan Board of Works,1911,"Coburg, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2797, Sandringham [cartographic material].","Streets shown include Teddington Road, Ludstone Street, Barnett Street, Olive Street, Lawson Street, Faulkner Street, South Road.",bw2021,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1938020/oai_set/api_map,1189875,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1189875,Melbourne and Metropolitan Board of Works,1946,"Hampton, Victoria & Sandringham, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2745, Municipality of Camberwell [cartographic material].","Streets shown include Albion Road, Bridges Street, Seaton Street, Oliver Street, Dent Street, Station Street, Francis Crescent.",bw1984,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1938057/oai_set/api_map,1206456,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1206456,Melbourne and Metropolitan Board of Works,1927,"Glen Iris, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2779, Municipality of Caulfield [cartographic material].","Streets shown include Neerim Road, Koornang Road, Graceburn Avenue, Glenhuntly Road, St. Hubert's Road.",bw2006,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1938101/oai_set/api_map,1207355,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1207355,Melbourne and Metropolitan Board of Works,1915,"Carnegie, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 2885, Municipality of Oakleigh [cartographic material].","Streets shown include Kangaroo Road, Normanby Street, Dallas Avenue, Bowen Street, Canterbury Street.",bw2089,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1949163/oai_set/api_map,1212994,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1212994,Melbourne and Metropolitan Board of Works,1919,"Hughesdale, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3009, Municipality of Camberwell [cartographic material].","Streets shown include Acacia Street, Back Creek, Lynden Street, Wakefields Grove, Through Road, Stornoway Road, Highfield Road.",bw2173,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1949244/oai_set/api_map,1220554,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1220554,Melbourne and Metropolitan Board of Works,1926,"Camberwell, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3839, Municipality of Nunawading [cartographic material].","Streets shown include Middleborough Road, Patricia Street (Road), Attunga Street, Malabar Street, Dewrang Crescent, Service Road, Broomhill Avenue, Elmhurst Road, White Horse Road.",bw2496,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1993678/oai_set/api_map,1255841,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1255841,Melbourne and Metropolitan Board of Works.,1947,"Blackburn, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 3878, Municipality of Braybrook [cartographic material].","Streets shown include Hertford Road, Hampshire Road, Lynch Street, Leonard Street, Omega Street, Ballarat Road (Western Highway).",bw2518,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1993722/oai_set/api_map,1263649,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1263649,Melbourne and Metropolitan Board of Works.,1934,"Sunshine, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4061, Municipality of Braybrook [cartographic material].","Streets shown include Raleighs (Raleigh) Road, Barb Street, Middle Road, Hortense Street, The Esplanade, The Boulevard (Chifley Drive), Maribyrnong River.",bw2584,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1999519/oai_set/api_map,1266572,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1266572,Melbourne and Metropolitan Board of Works.,1946,"Maribyrnong, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4264, Municipality of Mordialloc [cartographic material].","Streets shown include Como Parade West, Moorabbin (Warrigul) Road, Dover Place, The Corso, Antibes Street.",bw2654,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2010299/oai_set/api_map,1272000,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1272000,Melbourne and Metropolitan Board of Works.,1940,"Parkdale, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4291, Municipality of Mordialloc [cartographic material].","Streets shown include Main Street, Albert Street, Ashmore Avenue, Powlett Street, Barkly Street, Collocott Street, Edith Street.",bw2676,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2010343/oai_set/api_map,1275342,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1275342,Melbourne and Metropolitan Board of Works.,1940,"Mordialloc, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4339, Municipality of Moorabbin [cartographic material].","Streets shown include Axelton Street, Walker Grove, Devon Street, Centre Dandenong Road, Moonda Grove, Tenham Street (Grove).",bw2714,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2012620/oai_set/api_map,1281725,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1281725,Melbourne and Metropolitan Board of Works.,1941,"Cheltenham, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4777, Municipality of Camberwell [cartographic material].","Streets shown include The Boulevard, Corona Street, Kyora Parade, Taurus Street, Aquila Street, Cascade Street, Capella Street, Pavo Street, Ursa Street.",bw2781,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2012657/oai_set/api_map,1285925,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1285925,Melbourne and Metropolitan Board of Works.,1940,"Balwyn North, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan. 4502, Blackburn & Mitcham [cartographic material].","Streets shown include Central Road, Springvale road, Winlaton Street.",bw2731,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/2012738/oai_set/api_map,1286905,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1286905,Melbourne and Metropolitan Board of Works.,1936,"Nunawading, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, No. 1020, 1028, 1040, City of Melbourne [cartographic material].","Streets shown include Victoria Parade North, Victoria Parade South, Gisbourne Street, Parliament Place, Gipps Street, Carpentaria Place, Spring Street, Evelyn Street, Albert Street.",bw0011,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1497142/oai_set/api_map,1161822,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1161822,Melbourne and Metropolitan Board of Works,1895,"Melbourne, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 1269, Northcote and Heidelberg [cartographic material].","Streets shown include Westgarth Street, Victoria Street, Heidelberg road, Bower Street, Albert Street.",bw0252,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1581292/oai_set/api_map,1163989,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1163989,Melbourne and Metropolitan Board of Works,1909,"Northcote, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 335, 336, 341, 342, 549, 563 & 564, City of Melbourne [cartographic material].","Streets shown include Esplanade East, Bridge Street, Cruikshanks Street, Liardet Street, Little Cruikshanks Street, Pickles Street, Henderson Street, Iffla Street, St. Vincent Street, Durham Street,  Cowie Street, Greig Street, Little St. Vincent Street, Little Pickles Street, Little Henderson Street, Glover Street.",bw0292,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1581373/oai_set/api_map,1177237,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1177237,Melbourne and Metropolitan Board of Works,1895,"Port Melbourne, Victoria",1 map ; 79 x 130 cm.  Sewerage
"Melbourne and Metropolitan Board of Works detail plan, 1152, City of Melbourne [cartographic material].","Streets shown include Story Street, Park Street [Park Drive], Gatehouse Street, Flemington Road.",bw0148,JPG,Image,No copyright restrictions apply.,This work is out of copyright,MMBW map series.,http://api.slv.vic.gov.au/access_record/1724244/oai_set/api_map,1163831,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1163831,Melbourne and Metropolitan Board of Works,1896,"Parkville, Victoria",1 map ; 79 x 130 cm.  Sewerage
